SalesID,SalesPrice
1227829,18407.76877106811
1227844,17676.916659526047
1227847,47666.68478064763
1227848,66452.0512398454
1227863,53670.309859397996
1227870,29523.37293303102
1227871,25911.83195919685
1227879,11491.573845975792
1227880,16253.340744120516
1227881,34964.915553733765
1227882,47664.6724981572
1227883,58862.937900716424
1227885,37697.352106756
1227886,41165.869061869926
1227887,24584.679351339662
1227888,24584.679351339662
1227905,23852.422809881355
1227910,51513.5711959609
1227911,31086.52060215112
1227912,42598.09549937937
1227913,25799.429599718882
1227914,29045.85050410658
1227917,10429.033303249682
1227918,28938.481496064654
1227920,17947.898043618465
1227924,31932.83079460945
1227925,24059.1181601229
1227930,11552.172726406687
1227933,17714.993977588892
1227942,18064.34582977867
1227949,30048.017165231588
1227972,16242.68218812496
1227976,31974.39089421804
1227977,11865.817761041202
1227979,47689.962671753594
1227980,12745.129008617154
1227988,17204.422553435383
1227990,17283.399804846085
1227991,16655.793266056095
1227992,20899.17772657582
1227994,28648.28523299885
1227997,16659.770538783367
1228007,39042.739913672216
1228012,58423.354814542865
1228019,65938.74583566199
1228031,19660.013934510695
1228040,61561.86127970494
1228042,23579.48613214915
1228046,13001.475258151226
1228049,36568.243827465965
1228050,36356.63124317812
1228056,12385.19477021895
1228061,24829.196768197828
1228065,8196.122773462992
1228069,8214.005234619563
1228071,50893.250598169245
1228072,49393.01275581008
1228075,28331.729321294675
1228076,29281.093536433607
1228089,36211.09148798614
1228104,17330.94369172494
1228105,49376.02512683395
1228107,33649.099311817234
1228113,40649.2193026496
1228117,41402.346042244964
1228119,44052.700871430934
1228122,50440.25559875067
1228123,60804.60649103314
1228124,7824.017225072613
1228129,31172.67222375914
1228130,51870.97807308996
1228131,41216.68769989619
1228134,38108.27933944711
1228135,26746.41645264565
1228136,32953.01208768228
1228142,14999.590731181224
1228145,40569.321467737194
1228149,26724.13513749108
1228150,29145.406236275805
1228152,33070.32515433622
1228153,20055.090891510878
1228155,8747.292131479631
1228156,48114.11444087701
1228157,49020.55113187349
1228158,37638.05512765313
1228160,21946.055171098466
1228161,26881.716279098437
1228168,14605.546333795128
1228179,22167.135762199618
1228182,24281.951318653286
1228183,10641.940829827303
1228188,49115.85191564971
1228192,23132.34867960342
1228195,28182.26074823869
1228197,54074.61513585642
1228198,16227.564429056967
1228200,12671.018837640258
1228203,17877.7845659028
1228214,58887.79068554641
1228217,18958.692806043397
1228219,45321.29469083091
1228222,11460.282284418798
1228225,10746.97778968967
1228228,11328.599325839104
1228229,14006.786927930603
1228231,14617.51503239086
1228236,13769.828477022684
1228237,11008.914963669804
1228238,20559.929941092192
1228244,15559.659270895321
1228245,22486.699939930233
1228247,23872.38162671522
1228248,14952.215162865385
1228253,16987.5525450212
1228254,12442.392093200919
1228256,29091.645017331455
1228265,16554.31834683634
1228270,30391.61356401405
1228277,24787.121879856255
1228287,71151.40794525345
1228288,45385.812608218665
1228289,17520.841302978068
1228290,17461.110650607494
1228291,18639.228692046738
1228292,38243.95739161509
1228293,38755.15913201865
1228305,47638.907205177224
1228314,28354.299337358545
1228315,58520.52756236067
1228320,17778.12975475401
1228326,24473.041526362147
1228328,17793.842069712988
1228329,16297.895338565306
1228330,26757.789019060576
1228332,47901.227644913466
1228333,19300.555156852948
1228345,19963.466342716845
1228351,15643.78634976985
1228352,20240.826436409734
1228353,10719.075975120388
1228354,39150.81140597411
1228356,42931.98945074211
1228357,13597.158678025406
1228359,33214.71370889136
